📺YouTube 新聞,#genre#
TVBS HD,https://clonglii.serv00.net/youtube_d.php?id=YvdcZ_jpLXE&ln=2&data=normal
鳳凰資訊,http://www.youtube.com/watch?v=sUISafvOieY
TVBS56,http://www.youtube.com/watch?v=YvdcZ_jpLXE
東森Live,http://www.youtube.com/watch?v=S5WOGu2HSes


台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
大愛電視,https://www.youtube.com/watch?v=DTNkEm6jaqQ
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
大愛電視,https://www.youtube.com/watch?v=MIqUplvSRWA
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
民視新聞網,https://www.youtube.com/watch?v=ylYJSBUgaMA
新唐人亞太電視台NTDAPTV,https://www.youtube.com/watch?v=WIhgU_mc05A
TVBS新聞,https://www.youtube.com/watch?v=2mCSYvcfhtc
國會頻道,https://www.youtube.com/watch?v=4HysYHJ6GkY
TVBS,https://www.youtube.com/watch?v=m_dhMSvUCIc
國會頻道,https://www.youtube.com/watch?v=Lj8OWF6nzcg
國會頻道,https://www.youtube.com/watch?v=IvAXtzx5cUI
國會頻道,https://www.youtube.com/watch?v=Af0TFVbxvAQ
國會頻道,https://www.youtube.com/watch?v=Qo9QwuCpV3s
國會頻道,https://www.youtube.com/watch?v=yUx5lB4mhZk
國會頻道,https://www.youtube.com/watch?v=tDg3bJFYLzI
寰宇新聞,https://www.youtube.com/watch?v=w87VGpgd90U
鳳凰衛視,https://www.youtube.com/watch?v=HFib76ySpbU
東森新聞,https://www.youtube.com/watch?v=V1p33hqPrUk
寰宇財經新聞,https://www.youtube.com/watch?v=WTRQiVWK1jY
中天電視,https://www.youtube.com/watch?v=vr3XyVCR4T0
57東森財經新聞,https://www.youtube.com/watch?v=1I2iq41Akmo
57東森財經新聞,https://www.youtube.com/watch?v=AEBeWMM1atA
中天深喉嚨,https://www.youtube.com/watch?v=DM_PEM8GrIg
三立LIVE新聞,https://www.youtube.com/watch?v=hGJkDZDchYI
寰宇新聞,https://www.youtube.com/watch?v=Ej3LQM_lTEw
TVBS選新聞,https://www.youtube.com/watch?v=o_-hSMgpAzs
東森新聞 CH51,https://www.youtube.com/watch?v=E0zhe2gkXBs
中視經典綜藝,https://www.youtube.com/watch?v=ADDSmXoPDY8
台灣地震監視,https://www.youtube.com/watch?v=Owke6Quk7T0


🏘️Rob Yang就是我 寫此後台多年來都僅供親友測試調整 請及時刪除 不喜勿用 ,#genre#
至少"設定"->"點播"輸入http://RobYang.dpdns.org 一次，這樣可以跟新所有線源1,abc://a.d1
至少"設定"->"點播"輸入http://www3.RobYang.dpdns.org 一次，這樣可以跟新所有線源3,abc://a.d3
至少"設定"->"點播"輸入http://RobYang.zone.id 一次，這樣可以跟新所有線源4,abc://a.d4
👇👇更多直播，點播，如安博👇👇直播=http://RobYang.ggff.net,abc://a.d45
👉http://RobYang.dpdns.org👈,abc://a.d56
有事嗎？我們不熟,abc://a.d67
此僅限技術發展研究實驗使用,abc://a.d78
其他用途皆爲非法行為,abc://a.d67
任何責任自行負責,abc://a.d91

📺YouTube 兒童,#genre#

東森幼幼,https://youtu.be/4O8xAZ5VUGY
東森幼幼,https://www.youtube.com/watch?v=4O8xAZ5VUGY
MOMO親子,https://www.youtube.com/live/3OQOWV1K2-4?si=e-d0Ns2EB36iyW_3
MOMO親子,https://www.youtube.com/watch?v=3OQOWV1K2-4
MOMO親子2,https://www.youtube.com/live/Us2fxb2Ok7U?si=7At9YtcQRU0Ye3rq
MOMO親子2,https://www.youtube.com/watch?v=Us2fxb2Ok7U
MOMO親子成語,https://www.youtube.com/live/fB7x7fnYtkc?si=JpzxGvcHZ5zUOW5U
MOMO親子成語,https://youtu.be/fB7x7fnYtkc
迪士尼最佳歌曲2023,https://youtu.be/dpIbmKroTgA?si=YILikSplg7x284_Y
貝樂虎兒歌-童謠歌曲,https://www.youtube.com/watch?v=E2E6FHFb7eQ

PBS KIDS,https://www.youtube.com/watch?v=E3NOvf9WNAQ
Hasbro,https://www.youtube.com/watch?v=TZ3mxF4U__k
Beep Beep - Nursery Rhymes,https://www.youtube.com/watch?v=-VBxijFm50Y
Cartoonito,https://www.youtube.com/watch?v=p5l3ZS1jVUE
The Amazing World of Gumball,https://www.youtube.com/watch?v=nIyaCRNwxhU
Adventure Time,https://www.youtube.com/watch?v=uZkaJ3e9nfY
Boomerang UK,https://www.youtube.com/watch?v=IJbbpAhjboI
Boomerang UK,https://www.youtube.com/watch?v=2UOwO_N17ms
Doggyland - Kids Songs & Nursery Rhymes,https://www.youtube.com/watch?v=fzof1XsTZ-E
Birder King,https://www.youtube.com/watch?v=56WBs0A4Kng
Cartoon Network UK,https://www.youtube.com/watch?v=uUCTOHriQCg
Steven Universe,https://www.youtube.com/watch?v=m33MxUipmTI
Total Drama Official,https://www.youtube.com/watch?v=UBaxq2b6F6M
Peppa Pig Surprise,https://www.youtube.com/watch?v=aGMSVJcRxbM
BabyTV - Nursery Rhymes & Cartoons,https://www.youtube.com/watch?v=T9WraFZ8PxI
Boomerang UK,https://www.youtube.com/watch?v=rEKifG2XUZg
We Love Bears,https://www.youtube.com/watch?v=RXoDbwZmXV8
Masha and The Bear,https://www.youtube.com/watch?v=k5UuTzRUxuU
OGGY,https://www.youtube.com/watch?v=gI9mb0R_mX0
Marvel HQ,https://www.youtube.com/watch?v=13GZtHqYrLY
Beep Beep - Nursery Rhymes,https://www.youtube.com/watch?v=DJPyt438WX4



📺YouTube 其他,#genre#
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
亞洲旅遊台,http://37.27.111.214:8080/live/10/hls.m3u8
探索亞洲,http://61.221.215.25:8800/hls/50/index.m3u8
民視戲劇,http://www.youtube.com/live/6CQZxYpW9q4
華視綜藝頻道,http://m.youtube.com/live/IfKO17h4pVE
華視戲劇頻道,http://m.youtube.com/live/WFXI3igmwDk
中視亞洲台,http://www.youtube.com/live/s2waUruqze4
中視綜藝,http://www.youtube.com/live/ADDSmXoPDY8
台視,https://m.youtube.com/watch?v=uDqQo8a7Xmk
大愛一台,http://www.youtube.com/watch?v=MIqUplvSRWA
大愛一台,https://m.youtube.com/watch?v=oV_i3Hsl_zg
大愛二台台灣,http://www.youtube.com/watch?v=OKvWtVoDR8I
大愛二台全球,http://www.youtube.com/watch?v=DTNkEm6jaqQ
信大電視台,http://www.youtube.com/live/ciwFpYofb28
國會頻道,http://www.youtube.com/live/4HysYHJ6GkY
momo購物一台,https://www.youtube.com/live/_pZQ1Lk0xMA?si=3IAYc_xFfHsoVO8Z
momo購物二台,http://www.youtube.com/watch?v=xbNWkUyxQGM
東森購物台CH34,http://www.youtube.com/watch?v=ViJ3XiN6Q3M
美好購物二台,http://www.youtube.com/watch?v=lEXITHxcagI
好消息,https://live.streamingfast.net/osmflivech1.m3u8&data=normal$decoder=2
大愛二台,https://m.youtube.com/watch?v=DTNkEm6jaqQ
大愛二台,https://m.youtube.com/watch?v=OKvWtVoDR8I
華藏,http://www.youtube.com/watch?v=ypmrwYeLAaQ
希望電視台,https://videodelivery.net/f9fac529ef8cc8f8dc702ac06116ad1b/manifest/video.m3u8&data=normal
東京新宿,http://www.youtube.com/watch?v=DjdUEyjx8GM
正德電視台,http://www.youtube.com/watch?v=AfcVHGIRbP8
CBTV十方法界弘法電視台,https://m.youtube.com/watch?v=77SHFx1c8Lk
鳳凰衛視資訊,http://www.youtube.com/watch?v=HFib76ySpbU

Sports Central by DRM,https://www.youtube.com/watch?v=FPO4QXEJH8s
Sports Central by DRM,https://www.youtube.com/watch?v=SYRWPsI4QPY
FIGHT SHORT,https://www.youtube.com/watch?v=JGQSQvPO-mI
Talk Shows Central by DRM,https://www.youtube.com/watch?v=vwxng16LTiU
BRAVE Combat Federation,https://www.youtube.com/watch?v=UepxNq3xEic
Conqueror Motorsports,https://www.youtube.com/watch?v=s2AKzdubjC4
ONE Championship,https://www.youtube.com/watch?v=BxArS9RtjyM
Anurag Dwivedi,https://www.youtube.com/watch?v=t6kSdbXFnPA
Sorkhabi - Persian Sports Channel,https://www.youtube.com/watch?v=aumBtSbzxhQ
World Karate Federation,https://www.youtube.com/watch?v=-UVirw44HUE
Sports Yaari,https://www.youtube.com/watch?v=OS-yom94JEk
BellatorMMA,https://www.youtube.com/watch?v=qGe9vi8RP3M
Blue Jays Today,https://www.youtube.com/watch?v=3OYU9Y2T_tg
Cuồng Thể Thao,https://www.youtube.com/watch?v=BWD98tsMsb4
Cuồng Bóng Đá,https://www.youtube.com/watch?v=9_VXoxbjbfU
Turki Alalshikh,https://www.youtube.com/watch?v=3udrLUwZj-A
Persepolis F.C.,https://www.youtube.com/watch?v=kWdPW0kCBt4
Jovem Pan Esportes,https://www.youtube.com/watch?v=zD9lNLmgliU
BÓNG ĐÁ HÔM NAY,https://www.youtube.com/watch?v=JwKrxeluefs
ФК «Динамо» Київ,https://www.youtube.com/watch?v=OHIASXdvsso
Sports Tak,https://www.youtube.com/watch?v=9Rf_bDpcld0
The Football Terrace,https://www.youtube.com/watch?v=PoIATJI_-gM
World Karate Federation,https://www.youtube.com/watch?v=J37PkPVkvXM
BÓNG ĐÁ HÔM NAY,https://www.youtube.com/watch?v=0dL66_OxmqU
Cuồng Thể Thao,https://www.youtube.com/watch?v=8FHWAVdkRno
Cuồng Thể Thao,https://www.youtube.com/watch?v=Z5KAgdLXqng
tribunjabar video,https://www.youtube.com/watch?v=Vqxqxw323C4
beIN SPORTS Türkiye,https://www.youtube.com/watch?v=VCl1wO81VdM
BÓNG ĐÁ HÔM NAY,https://www.youtube.com/watch?v=1lEMfbGqe1U
Football Hub,https://www.youtube.com/watch?v=UWAttfOH-yM
TJK TV,https://www.youtube.com/watch?v=g89RQMJtK6E
CricTalks Live Coverage,https://www.youtube.com/watch?v=mAD5qCDNMLY
By The Way,https://www.youtube.com/watch?v=XcQwkUXCGHc
KM PUNK,https://www.youtube.com/watch?v=qs7Xt0ahuq0
TITAN STRANGE YT,https://www.youtube.com/watch?v=dXIZT1ec7kM
AZZ,https://www.youtube.com/watch?v=1I9H3iU4KRI
Mostly Sports With Mark Titus and Brandon Walker,https://www.youtube.com/watch?v=5Gl2MQ4fgvg
Meu Timão,https://www.youtube.com/watch?v=cAlKHgbJAeQ
Jovem Pan News,https://www.youtube.com/watch?v=omViL-rOZVI
TV Band Minas,https://www.youtube.com/watch?v=2O4QuCP6rUo
CricTalks Live Coverage,https://www.youtube.com/watch?v=szoEkg78Urk
1iQ Gaming,https://www.youtube.com/watch?v=QOz6PGWYAmE
Karakullukcu,https://www.youtube.com/watch?v=-pF37wTm4as
CricTalks Live Coverage,https://www.youtube.com/watch?v=jHpnl5TjGKo
World Surf League,https://www.youtube.com/watch?v=uRrD1ShmZ28
BTV,https://www.youtube.com/watch?v=UQnrY1Lh4IU
VOLE,https://www.youtube.com/watch?v=-h6trJlBGGw
Bandsports,https://www.youtube.com/watch?v=ZbxWxQquWLM
Pro Tv,https://www.youtube.com/watch?v=_-zA3KD-m_U
CricTalks Live Coverage,https://www.youtube.com/watch?v=9mfLGdBBfUU
A Spor,https://www.youtube.com/watch?v=7uBpwcn2ZZ0
DKTV Daniel,https://www.youtube.com/watch?v=34Ta9zUjiGo
BPM Sports,https://www.youtube.com/watch?v=OWmZgviANoc
Players Choice,https://www.youtube.com/watch?v=Oh10xtgbsxE
새벽의 축구 전문가,https://www.youtube.com/watch?v=4X3ta7VRVuk
Ultimate Cleveland Sports Show,https://www.youtube.com/watch?v=Chs43b7tC7s
Morning Kombat,https://www.youtube.com/watch?v=bwGhDSYSdsc
TRT SPOR Yıldız,https://www.youtube.com/watch?v=udwfgJpnfG4
98 Live,https://www.youtube.com/watch?v=cy8EGZAnTvo
Rádio Transamérica Esportes,https://www.youtube.com/watch?v=sh7N3YQKzZk
Rants N Bants,https://www.youtube.com/watch?v=uRT1GuQQPWs
WeAreTottenhamTV,https://www.youtube.com/watch?v=2jzjEHCZDTE
World Surf League,https://www.youtube.com/watch?v=x5DczRFqIFc
Esporte Band RS,https://www.youtube.com/watch?v=d8EajzWgFEM
rdsca,https://www.youtube.com/watch?v=dbNUUnpe9Tg
Free Picks PickDawgz,https://www.youtube.com/watch?v=BGkK0SNTbxw
TJK TV,https://www.youtube.com/watch?v=ri4rR0H2i9c
Cricfoot Nepal,https://www.youtube.com/watch?v=fqC553tkqK8
𝗖𝗥𝗜𝗖 𝗦𝗣𝗢𝗥𝗧𝗦,https://www.youtube.com/watch?v=9oWaEgdQ0l0
TNT Sports Chile,https://www.youtube.com/watch?v=Spx2ORbhWAs
ECN - European Cricket Network,https://www.youtube.com/watch?v=C_lun94yZog
Pop Bola Esporte Clube,https://www.youtube.com/watch?v=eFlLlglD1Iw
Thaboxingvoice,https://www.youtube.com/watch?v=ribJxVC8D4M
Locked On College Football,https://www.youtube.com/watch?v=ylSeT6K5fno
MARCA,https://www.youtube.com/watch?v=h-VcMZLbXKg
The Sevan Podcast,https://www.youtube.com/watch?v=srNqlxKZkiI
KNBR,https://www.youtube.com/watch?v=Hc4HXCAqsC8
World Karate Federation,https://www.youtube.com/watch?v=7CORcBZ30Lk
LIGA BBVA MX,https://www.youtube.com/watch?v=-b75L2mk3rY
24 LIVE EVENT🎥,https://www.youtube.com/watch?v=cDISolh4u5E
talkSPORT,https://www.youtube.com/watch?v=MiJIODpKngw
LIGA BBVA MX,https://www.youtube.com/watch?v=YLS1nSjfEV0
Kilómetro Cero,https://www.youtube.com/watch?v=T35sNA3LzeQ
Barstool Gambling,https://www.youtube.com/watch?v=4n0JIm5-RjU
104-5 The Zone,https://www.youtube.com/watch?v=CjoMRyaglWw
Locked On NFL,https://www.youtube.com/watch?v=t-zYSYBItyA


momo購物一台 CH48,https://www.youtube.com/watch?v=_pZQ1Lk0xMA
momo購物二台 CH35,https://www.youtube.com/watch?v=xbNWkUyxQGM
Live東森購物台,https://www.youtube.com/watch?v=ViJ3XiN6Q3M
Live東森購物台,https://www.youtube.com/watch?v=Z50JFuNgvB0
Live東森購物台,https://www.youtube.com/watch?v=u0NYyH3ZesE
Live東森購物台,https://www.youtube.com/watch?v=_Vlzn9qAHD4
HSNtv,https://www.youtube.com/watch?v=1ph8qQnjXts
QVCtv,https://www.youtube.com/watch?v=UqFzfqlb60g
QVCtv,https://www.youtube.com/watch?v=Qt2c93O1p_c
QVCtv,https://www.youtube.com/watch?v=_v_wMS-uACE
HSNtv,https://www.youtube.com/watch?v=q-BvtDrTnxc
CHANNEL21online,https://www.youtube.com/watch?v=0Vz3bK6K0f4

Mellowbeat Seeker,https://www.youtube.com/watch?v=IUT1qAhMY4w
N&T Party,https://www.youtube.com/watch?v=qWf-FPFmVw0
RazNitzanMusic,https://www.youtube.com/watch?v=WYetg3AuLE4
The Good Life Radio x Sensual Musique,https://www.youtube.com/watch?v=9UMxZofMNbA
BGM channel,https://www.youtube.com/watch?v=fEvM-OUbaKs
RazNitzanMusic,https://www.youtube.com/watch?v=DPXQG8S9Xwc
Cafe Music BGM channel,https://www.youtube.com/watch?v=Dx5qFachd3A
Cafe Music BGM channel,https://www.youtube.com/watch?v=SORD03t7nlo
Cafe Music BGM channel,https://www.youtube.com/watch?v=6uddGul0oAc
N&T Party,https://www.youtube.com/watch?v=I9Kn7uYT9Vs
Nemo's Dreamscapes,https://www.youtube.com/watch?v=nR-Zen2s2Qw
DATA LIVE,https://www.youtube.com/watch?v=3dVI1qu_8BI
Relaxation Ambient Music,https://www.youtube.com/watch?v=E5WpblyBR38
TOKYO TONES,https://www.youtube.com/watch?v=Lcdi9O2XB4E
Love YourSelf,https://www.youtube.com/watch?v=jKUAGpoFdjA
I Love You Venice,https://www.youtube.com/watch?v=2gO1v2GPMFk
Explore Zen Den,https://www.youtube.com/watch?v=a0i1Kg6fROg
Relaxation Ambient Music,https://www.youtube.com/watch?v=tNkZsRW7h2c
Love YourSelf,https://www.youtube.com/watch?v=xdckqJD4Bhk
Lofi Girl,https://www.youtube.com/watch?v=jfKfPfyJRdk
Sleepy Dogs,https://www.youtube.com/watch?v=BZcu8MK_jfo
Soothing Relaxation,https://www.youtube.com/watch?v=2OM7adQl-YQ
OCB Relax Music,https://www.youtube.com/watch?v=l6J0ylYTO4s
BGM channel,https://www.youtube.com/watch?v=gzxFyqJfUeo
Monstercat Silk,https://www.youtube.com/watch?v=WsDyRAPFBC8
Anjunadeep,https://www.youtube.com/watch?v=D4MdHQOILdw
THE K-POP,https://www.youtube.com/watch?v=JVocS7Yftw8
Arirang Radio K-Pop,https://www.youtube.com/watch?v=P1fX2GGdVS0
The Waters of Heaven,https://www.youtube.com/watch?v=jvXwD1dMvYM
The Waters of Heaven,https://www.youtube.com/watch?v=b_TW4NYsbOo
男女對唱 Music Box Good ,https://www.youtube.com/watch?v=W3Axy3nJUgU
The Waters of Heaven,https://www.youtube.com/watch?v=JFxOtxYJoz0
The Waters of Heaven,https://www.youtube.com/watch?v=hYz1oOcAuk8
Healing Melody for Soul,https://www.youtube.com/watch?v=ySfbEYyr5jo
Hot Douyin Studios,https://www.youtube.com/watch?v=QntP-ZwxbJI
Cozy Jazz Music,https://www.youtube.com/watch?v=j-tYR6tvtb0
Lofi Girl,https://www.youtube.com/watch?v=P6Segk8cr-c
男女對唱 Music Box Good ,https://www.youtube.com/watch?v=DYx6elXyQJ4
The Waters of Heaven,https://www.youtube.com/watch?v=APKgJNq6I_k
Sleepy Cats,https://www.youtube.com/watch?v=LK0Nx3u69GI
The Waters of Heaven,https://www.youtube.com/watch?v=G6M5Upcrwf8
The Waters of Heaven,https://www.youtube.com/watch?v=seDO5NoNk10
Jazz For Soul,https://www.youtube.com/watch?v=25aiG5qg-CU
Happy Jazz Music,https://www.youtube.com/watch?v=ygedg03NpUQ
男女對唱 Music Box Good ,https://www.youtube.com/watch?v=Q_BYTfKF2Zc
MBC WORLD,https://www.youtube.com/watch?v=ggDKdb2oaL4



📻電台,#genre#
CityFM台北健康FM 90.1,http://fm901.cityfm.tw:8080/901.mp3
CityFM大苗栗廣播FM 98.3,http://fm983.cityfm.tw:8080/983.mp3
CityFM城市廣播FM 92.9,http://fm929.cityfm.tw:8080/929.mp3
CityFM台南之音FM 97.1,http://fm971.cityfm.tw:8080/971.mp3
中廣音樂網,http://stream.rcs.revma.com/ks4vsmg3qtzuv
中廣新聞網,http://stream.rcs.revma.com/78fm9wyy2tzuv
中廣流行網,http://stream.rcs.revma.com/aw9uqyxy2tzuv
RTI中央廣播電台,https://streamak0138.akamaized.net/live0138lh-mbm9/_definst_/rti3/playlist.m3u8
RTI亞洲語言Live,https://streamak0138.akamaized.net/live0138lh-mbm9/_definst_/rti5/chunklist.m3u8
RTI閩客粵語和歐美外語Live,https://streamak0138.akamaized.net/live0138lh-mbm9/_definst_/rti6/playlist.m3u8
AsiaFM亞洲電台FM92.7,https://stream.rcs.revma.com/xpgtqc74hv8uv 
AsiaFM亞太電台FM92.3,https://stream.rcs.revma.com/kydend74hv8uv
FlyRadio飛揚調頻895,https://stream.rcs.revma.com/e0tdah74hv8uv
News98新聞,http://stream.rcs.revma.com/55tyxsy4qtzuv
ICRT,http://live.leanstream.co/ICRTFM-MP3
飛碟電台,http://stream.rcs.revma.com/em90w4aeewzuv
警廣之聲,http://play-radio-stream3.hndt.com/now/prIgXGFo/playlist.m3u8
全國治安交通網,http://stream.pbs.gov.tw:1935/live/mp3:PBS/playlist.m3u8
員警廣播台北分台,http://stream.pbs.gov.tw:1935/live/TPS/playlist.m3u8 
員警廣播高雄分台,http://stream.pbs.gov.tw:1935/live/KSS/playlist.m3u8
員警廣播台中分台,http://stream.pbs.gov.tw:1935/live/TCS/playlist.m3u8
員警廣播台南分台,http://stream.pbs.gov.tw:1935/live/TNS/playlist.m3u8 
員警廣播台東分台,http://stream.pbs.gov.tw:1935/live/TTS/playlist.m3u8
員警廣播新竹分台,http://stream.pbs.gov.tw:1935/live/SCS/playlist.m3u8
員警廣播花蓮分台,http://stream.pbs.gov.tw:1935/live/HLS/playlist.m3u8 
員警廣播宜蘭分台,http://stream.pbs.gov.tw:1935/live/ELS/playlist.m3u8
台北廣播電台FM93.1,https://stream.ginnet.cloud/live0130lo-yfyo/_definst_/fm/playlist.m3u8
台北廣播電台AM1134,https://stream.ginnet.cloud/live0130lo-yfyo/_definst_/am/playlist.m3u8 
國立教育廣播電台台北總台FM台,https://cast.ner.gov.tw/1#http://wowza.ner.gov.tw/live/_definst_/1/playlist.m3u8
國立教育廣播電台台北總台AM台,https://cast.ner.gov.tw/2
台灣古典音樂台,http://59.120.88.155:8000/live.mp3
BravoFM台北都會音樂台,https://onair.bravo913.com.tw:9130/live.mp3
台中古典音樂台,https://onair.family977.com.tw:8977/live.mp3
佳音羅東宜蘭FM90.3,http://cdn51.ccdntech.com/live-http/_definst_/vod51_Live/ch02/playlist.m3u8
佳音經典音樂網,http://cdn51.ccdntech.com/live-http/_definst_/vod51_Live/ch03/playlist.m3u8
佳音現代音樂網,http://cdn51.ccdntech.com/live-http/_definst_/vod51_Live/ch04/playlist.m3u8
寶島聯播網|大千電台,http://125.227.87.206:8000/FM99.1
寶島聯播網|寶島新聲,http://125.227.87.206:8000/FM98.5
寶島聯播網|主人電台,http://125.227.87.206:8000/FM96.9
正義電台,http://211.20.119.103:8081
太陽電台,http://211.20.119.102:8081 
台中廣播電台,http://211.20.119.101:8081
台灣Lounge Radio音樂電台,http://streaming.radionomy.com/JamendoLounge
輕鬆電台FM 96.9,http://stream.rcs.revma.com/k41z6wadu5hvv
正聲綜合,http://flv.ccdntech.com/live/_definst_/mp4:vod117_Live/live2/playlist.m3u8
正聲FM104.1,http://flv.ccdntech.com/live/_definst_/mp4:vod117_Live/live1/playlist.m3u8
環宇廣播,http://stream.rcs.revma.com/srn5f9kmwxhvv
M-Radio全國廣播,http://stream.rcs.revma.com/044q61ha7a0uv/hls.m3u8


飛碟電台,https://yeslivetv.com/radio/uforadio/
中廣新聞網,https://yeslivetv.com/radio/bbc-news-radio/
中廣流行網 FM103,https://yeslivetv.com/radio/i-like-radio-fm103/
中廣音樂網 FM96,https://yeslivetv.com/radio/i-radio-fm96/
中廣鄉親網 COUNTRY,https://yeslivetv.com/radio/bbc-country/
中廣 I go AM531,https://yeslivetv.com/radio/i-go-am531/
亞洲電台 FM92.7,https://yeslivetv.com/radio/asia-fm927/
亞太電台 FM92.3,https://yeslivetv.com/radio/asia-fm923/
飛揚電台(飛揚調頻)FM89.5,https://yeslivetv.com/radio/asia-fm895/
愛樂電台 FM99.7,https://yeslivetv.com/radio/fm997/
國立教育廣播電台(台北總台FM台),https://yeslivetv.com/radio/ner-taipei-fm/
國立教育廣播電台(台北總台AM台),https://yeslivetv.com/radio/ner-taipei-am/
國立教育廣播電台(台中AM台),https://yeslivetv.com/radio/ner-taichung-am/
國立教育廣播電台(彰化分台FM),https://yeslivetv.com/radio/ner-changhua-fm/
國立教育廣播電台(高雄分台),https://yeslivetv.com/radio/ner-kaohsiung/
國立教育廣播電台(台東分台FM-1),https://yeslivetv.com/radio/ner-taitung-fm1029/
國立教育廣播電台(台東分台FM-2),https://yeslivetv.com/radio/ner-taitung-fm1005/
國立教育廣播電台(花蓮分台FM-1),https://yeslivetv.com/radio/ner-hualien-fm1/
國立教育廣播電台(花蓮分台FM-2),https://yeslivetv.com/radio/ner-hualien-fm2/
好事989電台,https://yeslivetv.com/radio/bestradio-fm989/
